order_number,Rec_0,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8,Rec_9,Rec_10,Rec_11,Rec_12,Rec_13,Rec_14
193416,"['Cleaning', 8.2585]","['Adhesives, Sealants and Tape', 7.032800000000001]","['Hand Tools', 6.2962]","['Electronics, Appliances, and Batteries', 5.4325]","['Power Tools', 5.3728]","['Safety', 5.1274999999999995]","['Lubrication', 4.4931]","['Electrical', 4.131800000000001]","['Abrasives', 3.9460999999999995]","['Material Handling', 3.7941000000000003]","['Machining', 3.7531999999999996]","['Fleet and Vehicle Maintenance', 3.578]","['Paint, Equipment and Supplies', 3.3302999999999994]","['Lighting', 3.3184999999999993]","['Pneumatics', 3.2824000000000004]"
193590,"['Safety', 39.606100000000005]","['Cleaning', 34.82779999999999]","['Electrical', 33.5247]","['Hand Tools', 29.871299999999998]","['Adhesives, Sealants and Tape', 28.4051]","['Fasteners', 24.4525]","['Pneumatics', 23.166900000000002]","['Power Tools', 21.945300000000003]","['Material Handling', 21.870200000000004]","['Plumbing', 21.2558]","['Abrasives', 20.4519]","['Machining', 19.376100000000005]","['Electronics, Appliances, and Batteries', 19.150000000000002]","['Lubrication', 18.8991]","['Lighting', 17.332600000000003]"
193742,"['Test Instruments', 3.2026]","['Safety', 2.3039]","['Hand Tools', 1.2212]","['Cleaning', 1.0793]","['Adhesives, Sealants and Tape', 0.9808]","['Power Tools', 0.9676]","['Material Handling', 0.9252]","['Electrical', 0.9009]","['Lighting', 0.8884]","['Electronics, Appliances, and Batteries', 0.7504000000000001]","['Machining', 0.6744]","['Abrasives', 0.6583]","['Plumbing', 0.6435]","['Lubrication', 0.6177]","['Pneumatics', 0.6152]"
193779,"['Fasteners', 37.0]","['Electrical', 11.9399]","['Plumbing', 11.5884]","['Pneumatics', 9.975200000000001]","['Machining', 9.8124]","['Adhesives, Sealants and Tape', 8.5581]","['Lubrication', 7.4887999999999995]","['Power Tools', 7.4037]","['Cleaning', 7.2741999999999996]","['Hand Tools', 6.9116]","['Abrasives', 6.848699999999999]","['Safety', 6.4528]","['Electronics, Appliances, and Batteries', 5.4242]","['Material Handling', 5.217]","['Fleet and Vehicle Maintenance', 4.6398]"
193791,"['Hand Tools', 19.868000000000002]","['Safety', 7.948999999999999]","['Cleaning', 7.1812]","['Test Instruments', 7.0778]","['Adhesives, Sealants and Tape', 6.9548]","['Power Tools', 6.8242]","['Electrical', 5.812200000000001]","['Material Handling', 5.7860000000000005]","['Lighting', 5.2733]","['Electronics, Appliances, and Batteries', 5.2498]","['Machining', 5.041]","['Abrasives', 5.0371999999999995]","['Outdoor Equipment', 4.9104]","['Lubrication', 4.3557]","['Paint, Equipment and Supplies', 4.212]"
194014,"['Hand Tools', 17.092599999999997]","['Material Handling', 14.5715]","['Cleaning', 11.1478]","['Power Tools', 11.0899]","['Safety', 9.2623]","['Adhesives, Sealants and Tape', 8.4868]","['Electrical', 7.384200000000001]","['Machining', 6.4921]","['Lighting', 6.4853]","['Abrasives', 6.4401]","['Electronics, Appliances, and Batteries', 6.2536]","['Lubrication', 5.662699999999999]","['Paint, Equipment and Supplies', 5.6626]","['Hardware', 5.5888]","['Pneumatics', 5.4923]"
194031,"['Safety', 11.0785]","['Abrasives', 9.2076]","['Hand Tools', 8.944399999999998]","['Adhesives, Sealants and Tape', 8.3254]","['Machining', 7.6419]","['Cleaning', 6.925199999999999]","['Power Tools', 6.273]","['Pneumatics', 6.163499999999999]","['Electrical', 5.7382]","['Electronics, Appliances, and Batteries', 5.2095]","['Lubrication', 4.8933]","['Material Handling', 4.749600000000001]","['Fasteners', 4.7042]","['Plumbing', 4.6242]","['Paint, Equipment and Supplies', 4.073099999999999]"
194527,"['Safety', 18.5456]","['Cleaning', 8.1202]","['Hand Tools', 8.0761]","['Adhesives, Sealants and Tape', 7.5784]","['Electrical', 7.3498]","['Electronics, Appliances, and Batteries', 7.3431]","['Outdoor Equipment', 5.6892]","['Material Handling', 5.271999999999999]","['Power Tools', 5.2014]","['Lighting', 5.0257]","['Abrasives', 4.9147]","['Plumbing', 4.4731]","['Machining', 4.4653]","['Lubrication', 4.4154]","['Fasteners', 4.1985]"
195150,"['Fasteners', 14.795000000000002]","['Electrical', 10.4229]","['Plumbing', 6.5701]","['Material Handling', 6.5699]","['Cleaning', 6.401999999999998]","['Adhesives, Sealants and Tape', 6.2154]","['Safety', 5.9002]","['Pneumatics', 5.8344]","['Machining', 5.7894000000000005]","['Lubrication', 5.5611999999999995]","['Hand Tools', 5.503299999999999]","['Abrasives', 5.405000000000001]","['Power Tools', 5.1907000000000005]","['Electronics, Appliances, and Batteries', 4.1183]","['Lighting', 3.7903]"
195154,"['Safety', 12.8844]","['Cleaning', 9.215600000000002]","['Plumbing', 8.6006]","['Hand Tools', 8.3821]","['Electrical', 7.6928]","['Adhesives, Sealants and Tape', 7.264399999999999]","['Electronics, Appliances, and Batteries', 6.8231]","['Power Tools', 5.055400000000001]","['Fasteners', 5.037599999999999]","['Material Handling', 4.935]","['Abrasives', 4.8776]","['Pneumatics', 4.8189]","['Machining', 4.8134]","['Lighting', 4.5916]","['Lubrication', 4.5495]"
